Cosmology WMAP:,  71, 0.27, 0.73, 0.
      z,       DA (Mpc)
      0.0000,    0.0000
      0.0001,    0.4199
      0.0002,    0.8397
      0.0003,    1.2692
      0.0004,    1.6886
      0.0005,    2.1079
      0.0006,    2.5270
      0.0007,    2.9559
      0.0008,    3.3746
      0.0009,    3.7932
      0.0010,    4.2216
      0.0011,    4.6398
      0.0012,    5.0579
      0.0013,    5.4758
      0.0014,    5.9035
      0.0015,    6.3210
      0.0016,    6.7384
      0.0017,    7.1656
      0.0018,    7.5827
      0.0019,    7.9996
      0.0020,    8.4263
      0.0021,    8.8428
      0.0022,    9.2692
      0.0023,    9.6854
      0.0024,   10.1015
      0.0025,   10.5273
      0.0026,   10.9430
      0.0027,   11.3685
      0.0028,   11.7839
      0.0029,   12.1991
      0.0030,   12.6241
      0.0031,   13.0390
      0.0032,   13.4637
      0.0033,   13.8783
      0.0034,   14.3026
      0.0035,   14.7168
      0.0036,   15.1309
      0.0037,   15.5547
      0.0038,   15.9684
      0.0039,   16.3919
      0.0040,   16.8053
      0.0041,   17.2284
      0.0042,   17.6415
      0.0043,   18.0643
      0.0044,   18.4770
      0.0045,   18.8995
      0.0046,   19.3119
      0.0047,   19.7341
      0.0048,   20.1560
      0.0049,   20.5679
      0.0050,   20.9896
      0.0051,   21.4012
      0.0052,   21.8225
      0.0053,   22.2337
      0.0054,   22.6547
      0.0055,   23.0755
      0.0056,   23.4862
      0.0057,   23.9067
      0.0058,   24.3171
      0.0059,   24.7372
      0.0060,   25.1572
      0.0061,   25.5671
      0.0062,   25.9868
      0.0063,   26.3964
      0.0064,   26.8157
      0.0065,   27.2348
      0.0066,   27.6439
      0.0067,   28.0627
      0.0068,   28.4813
      0.0069,   28.8899
      0.0070,   29.3083
      0.0071,   29.7264
      0.0072,   30.1444
      0.0073,   30.5523
      0.0074,   30.9699
      0.0075,   31.3874
      0.0076,   31.7949
      0.0077,   32.2120
      0.0078,   32.6290
      0.0079,   33.0458
      0.0080,   33.4526
      0.0081,   33.8691
      0.0082,   34.2854
      0.0083,   34.7016
      0.0084,   35.1175
      0.0085,   35.5235
      0.0086,   35.9392
      0.0087,   36.3547
      0.0088,   36.7700
      0.0089,   37.1852
      0.0090,   37.5903
      0.0091,   38.0052
      0.0092,   38.4198
      0.0093,   38.8343
      0.0094,   39.2487
      0.0095,   39.6628
      0.0096,   40.0670
      0.0097,   40.4809
      0.0098,   40.8945
      0.0099,   41.3081
      0.0100,   41.7214
      0.0101,   42.1346
      0.0102,   42.5476
      0.0103,   42.9605
      0.0104,   43.3731
      0.0105,   43.7857
      0.0106,   44.1882
      0.0107,   44.6004
      0.0108,   45.0125
      0.0109,   45.4243
      0.0110,   45.8361
      0.0111,   46.2476
      0.0112,   46.6590
      0.0113,   47.0702
      0.0114,   47.4813
      0.0115,   47.8922
      0.0116,   48.3029
      0.0117,   48.7134
      0.0118,   49.1238
      0.0119,   49.5341
      0.0120,   49.9442
      0.0121,   50.3541
      0.0122,   50.7638
      0.0123,   51.1734
      0.0124,   51.5828
      0.0125,   51.9921
      0.0126,   52.4109
      0.0127,   52.8199
      0.0128,   53.2286
      0.0129,   53.6372
      0.0130,   54.0457
      0.0131,   54.4540
      0.0132,   54.8621
      0.0133,   55.2700
      0.0134,   55.6778
      0.0135,   56.0855
      0.0136,   56.5027
      0.0137,   56.9100
      0.0138,   57.3171
      0.0139,   57.7241
      0.0140,   58.1309
      0.0141,   58.5376
      0.0142,   58.9441
      0.0143,   59.3602
      0.0144,   59.7663
      0.0145,   60.1723
      0.0146,   60.5782
      0.0147,   60.9839
      0.0148,   61.3991
      0.0149,   61.8045
      0.0150,   62.2097
      0.0151,   62.6147
      0.0152,   63.0293
      0.0153,   63.4341
      0.0154,   63.8386
      0.0155,   64.2430
      0.0156,   64.6570
      0.0157,   65.0611
      0.0158,   65.4650
      0.0159,   65.8687
      0.0160,   66.2820
      0.0161,   66.6854
      0.0162,   67.0887
      0.0163,   67.5015
      0.0164,   67.9045
      0.0165,   68.3073
      0.0166,   68.7196
      0.0167,   69.1220
      0.0168,   69.5243
      0.0169,   69.9362
      0.0170,   70.3382
      0.0171,   70.7400
      0.0172,   71.1513
      0.0173,   71.5529
      0.0174,   71.9542
      0.0175,   72.3651
      0.0176,   72.7661
      0.0177,   73.1766
      0.0178,   73.5773
      0.0179,   73.9779
      0.0180,   74.3879
      0.0181,   74.7882
      0.0182,   75.1979
      0.0183,   75.5978
      0.0184,   76.0072
      0.0185,   76.4068
      0.0186,   76.8159
      0.0187,   77.2151
      0.0188,   77.6143
      0.0189,   78.0229
      0.0190,   78.4217
      0.0191,   78.8299
      0.0192,   79.2284
      0.0193,   79.6364
      0.0194,   80.0345
      0.0195,   80.4422
      0.0196,   80.8496
      0.0197,   81.2473
      0.0198,   81.6545
      0.0199,   82.0518
      0.0200,   82.4587
      0.0201,   82.8557
      0.0202,   83.2622
      0.0203,   83.6590
      0.0204,   84.0651
      0.0205,   84.4712
      0.0206,   84.8675
      0.0207,   85.2732
      0.0208,   85.6691
      0.0209,   86.0745
      0.0210,   86.4797
      0.0211,   86.8752
      0.0212,   87.2801
      0.0213,   87.6753
      0.0214,   88.0798
      0.0215,   88.4843
      0.0216,   88.8790
      0.0217,   89.2831
      0.0218,   89.6870
      0.0219,   90.0812
      0.0220,   90.4849
      0.0221,   90.8883
      0.0222,   91.2917
      0.0223,   91.6852
      0.0224,   92.0882
      0.0225,   92.4911
      0.0226,   92.8842
      0.0227,   93.2867
      0.0228,   93.6891
      0.0229,   94.0913
      0.0230,   94.4838
      0.0231,   94.8857
      0.0232,   95.2874
      0.0233,   95.6889
      0.0234,   96.0808
      0.0235,   96.4821
      0.0236,   96.8832
      0.0237,   97.2841
      0.0238,   97.6849
      0.0239,   98.0759
      0.0240,   98.4764
      0.0241,   98.8767
      0.0242,   99.2769
      0.0243,   99.6769
      0.0244,  100.0767
      0.0245,  100.4668
      0.0246,  100.8663
      0.0247,  101.2657
      0.0248,  101.6649
      0.0249,  102.0639
      0.0250,  102.4628
      0.0251,  102.8615
      0.0252,  103.2601
      0.0253,  103.6585
      0.0254,  104.0473
      0.0255,  104.4454
      0.0256,  104.8433
      0.0257,  105.2411
      0.0258,  105.6387
      0.0259,  106.0362
      0.0260,  106.4335
      0.0261,  106.8307
      0.0262,  107.2277
      0.0263,  107.6245
      0.0264,  108.0212
      0.0265,  108.4177
      0.0266,  108.8141
      0.0267,  109.2103
      0.0268,  109.6064
      0.0269,  110.0023
      0.0270,  110.3980
      0.0271,  110.7936
      0.0272,  111.1891
      0.0273,  111.5843
      0.0274,  111.9794
      0.0275,  112.3744
      0.0276,  112.7692
      0.0277,  113.1639
      0.0278,  113.5584
      0.0279,  113.9527
      0.0280,  114.3469
      0.0281,  114.7504
      0.0282,  115.1443
      0.0283,  115.5380
      0.0284,  115.9316
      0.0285,  116.3250
      0.0286,  116.7182
      0.0287,  117.1113
      0.0288,  117.5043
      0.0289,  117.8971
      0.0290,  118.2991
      0.0291,  118.6916
      0.0292,  119.0840
      0.0293,  119.4761
      0.0294,  119.8681
      0.0295,  120.2600
      0.0296,  120.6611
      0.0297,  121.0527
      0.0298,  121.4441
      0.0299,  121.8353
      0.0300,  122.2264
      0.0301,  122.6268
      0.0302,  123.0175
      0.0303,  123.4081
      0.0304,  123.7986
      0.0305,  124.1983
      0.0306,  124.5885
      0.0307,  124.9785
      0.0308,  125.3684
      0.0309,  125.7675
      0.0310,  126.1570
      0.0311,  126.5464
      0.0312,  126.9356
      0.0313,  127.3341
      0.0314,  127.7231
      0.0315,  128.1118
      0.0316,  128.5098
      0.0317,  128.8983
      0.0318,  129.2866
      0.0319,  129.6842
      0.0320,  130.0722
      0.0321,  130.4600
      0.0322,  130.8571
      0.0323,  131.2447
      0.0324,  131.6321
      0.0325,  132.0287
      0.0326,  132.4158
      0.0327,  132.8121
      0.0328,  133.1989
      0.0329,  133.5855
      0.0330,  133.9813
      0.0331,  134.3676
      0.0332,  134.7632
      0.0333,  135.1492
      0.0334,  135.5444
      0.0335,  135.9301
      0.0336,  136.3157
      0.0337,  136.7105
      0.0338,  137.0957
      0.0339,  137.4902
      0.0340,  137.8751
      0.0341,  138.2692
      0.0342,  138.6539
      0.0343,  139.0477
      0.0344,  139.4321
      0.0345,  139.8256
      0.0346,  140.2096
      0.0347,  140.6028
      0.0348,  140.9866
      0.0349,  141.3795
      0.0350,  141.7629
      0.0351,  142.1555
      0.0352,  142.5387
      0.0353,  142.9310
      0.0354,  143.3231
      0.0355,  143.7058
      0.0356,  144.0976
      0.0357,  144.4800
      0.0358,  144.8715
      0.0359,  145.2536
      0.0360,  145.6448
      0.0361,  146.0359
      0.0362,  146.4175
      0.0363,  146.8083
      0.0364,  147.1989
      0.0365,  147.5800
      0.0366,  147.9704
      0.0367,  148.3605
      0.0368,  148.7412
      0.0369,  149.1311
      0.0370,  149.5115
      0.0371,  149.9010
      0.0372,  150.2904
      0.0373,  150.6797
      0.0374,  151.0594
      0.0375,  151.4484
      0.0376,  151.8372
      0.0377,  152.2165
      0.0378,  152.6050
      0.0379,  152.9934
      0.0380,  153.3815
      0.0381,  153.7603
      0.0382,  154.1481
      0.0383,  154.5359
      0.0384,  154.9234
      0.0385,  155.3016
      0.0386,  155.6889
      0.0387,  156.0760
      0.0388,  156.4629
      0.0389,  156.8405
      0.0390,  157.2271
      0.0391,  157.6136
      0.0392,  158.0000
      0.0393,  158.3862
      0.0394,  158.7630
      0.0395,  159.1489
      0.0396,  159.5347
      0.0397,  159.9203
      0.0398,  160.3057
      0.0399,  160.6911
      0.0400,  161.0762
      0.0401,  161.4520
      0.0402,  161.8368
      0.0403,  162.2215
      0.0404,  162.6060
      0.0405,  162.9904
      0.0406,  163.3747
      0.0407,  163.7588
      0.0408,  164.1427
      0.0409,  164.5265
      0.0410,  164.9102
      0.0411,  165.2844
      0.0412,  165.6678
      0.0413,  166.0509
      0.0414,  166.4340
      0.0415,  166.8169
      0.0416,  167.1996
      0.0417,  167.5822
      0.0418,  167.9647
      0.0419,  168.3470
      0.0420,  168.7291
      0.0421,  169.1111
      0.0422,  169.4930
      0.0423,  169.8746
      0.0424,  170.2562
      0.0425,  170.6376
      0.0426,  171.0188
      0.0427,  171.3999
      0.0428,  171.7809
      0.0429,  172.1617
      0.0430,  172.5423
      0.0431,  172.9320
      0.0432,  173.3124
      0.0433,  173.6926
      0.0434,  174.0726
      0.0435,  174.4525
      0.0436,  174.8323
      0.0437,  175.2119
      0.0438,  175.5913
      0.0439,  175.9706
      0.0440,  176.3498
      0.0441,  176.7380
      0.0442,  177.1169
      0.0443,  177.4956
      0.0444,  177.8741
      0.0445,  178.2525
      0.0446,  178.6308
      0.0447,  179.0089
      0.0448,  179.3961
      0.0449,  179.7739
      0.0450,  180.1516
      0.0451,  180.5291
      0.0452,  180.9065
      0.0453,  181.2928
      0.0454,  181.6699
      0.0455,  182.0468
      0.0456,  182.4237
      0.0457,  182.8003
      0.0458,  183.1859
      0.0459,  183.5623
      0.0460,  183.9384
      0.0461,  184.3145
      0.0462,  184.6995
      0.0463,  185.0753
      0.0464,  185.4509
      0.0465,  185.8355
      0.0466,  186.2108
      0.0467,  186.5859
      0.0468,  186.9610
      0.0469,  187.3449
      0.0470,  187.7197
      0.0471,  188.0943
      0.0472,  188.4778
      0.0473,  188.8521
      0.0474,  189.2262
      0.0475,  189.6093
      0.0476,  189.9831
      0.0477,  190.3568
      0.0478,  190.7395
      0.0479,  191.1129
      0.0480,  191.4953
      0.0481,  191.8684
      0.0482,  192.2413
      0.0483,  192.6232
      0.0484,  192.9959
      0.0485,  193.3775
      0.0486,  193.7499
      0.0487,  194.1221
      0.0488,  194.5033
      0.0489,  194.8752
      0.0490,  195.2561
      0.0491,  195.6277
      0.0492,  196.0083
      0.0493,  196.3797
      0.0494,  196.7600
      0.0495,  197.1310
      0.0496,  197.5019
      0.0497,  197.8817
      0.0498,  198.2524
      0.0499,  198.6319
      0.0500,  199.0023
      0.0501,  199.3815
      0.0502,  199.7516
      0.0503,  200.1305
      0.0504,  200.5093
      0.0505,  200.8789
      0.0506,  201.2574
      0.0507,  201.6268
      0.0508,  202.0050
      0.0509,  202.3740
      0.0510,  202.7519
      0.0511,  203.1207
      0.0512,  203.4983
      0.0513,  203.8758
      0.0514,  204.2441
      0.0515,  204.6213
      0.0516,  204.9893
      0.0517,  205.3662
      0.0518,  205.7430
      0.0519,  206.1105
      0.0520,  206.4870
      0.0521,  206.8633
      0.0522,  207.2305
      0.0523,  207.6065
      0.0524,  207.9824
      0.0525,  208.3491
      0.0526,  208.7247
      0.0527,  209.1001
      0.0528,  209.4664
      0.0529,  209.8416
      0.0530,  210.2166
      0.0531,  210.5824
      0.0532,  210.9571
      0.0533,  211.3317
      0.0534,  211.7061
      0.0535,  212.0714
      0.0536,  212.4455
      0.0537,  212.8195
      0.0538,  213.1843
      0.0539,  213.5580
      0.0540,  213.9316
      0.0541,  214.3049
      0.0542,  214.6782
      0.0543,  215.0424
      0.0544,  215.4153
      0.0545,  215.7882
      0.0546,  216.1608
      0.0547,  216.5334
      0.0548,  216.8968
      0.0549,  217.2690
      0.0550,  217.6411
      0.0551,  218.0131
      0.0552,  218.3849
      0.0553,  218.7476
      0.0554,  219.1191
      0.0555,  219.4905
      0.0556,  219.8617
      0.0557,  220.2328
      0.0558,  220.6038
      0.0559,  220.9745
      0.0560,  221.3452
      0.0561,  221.7067
      0.0562,  222.0771
      0.0563,  222.4473
      0.0564,  222.8174
      0.0565,  223.1874
      0.0566,  223.5572
      0.0567,  223.9268
      0.0568,  224.2963
